variable,coef,se,t_stat,p_value,ci_lo,ci_hi,stars
const,-15.35032825488329,0.6810924628658325,-22.53780373709279,1.7687750773448827e-112,-16.685244952242005,-14.015411557524574,***
ln_gdppc_org,-0.335175662373676,0.03739615801111452,-8.962836831368035,3.1643062452545937e-19,-0.4084707852356295,-0.2618805395117225,***
ln_gdppc_des,1.2019517921010692,0.028303790665944004,42.4661066175597,0.0,1.146477381769858,1.2574262024322804,***
ln_pop_org,0.47322055525289175,0.02090065761455866,22.641419422289516,1.6949702581960114e-113,0.43225601907515393,0.5141850914306295,***
ln_pop_des,0.5082248210429609,0.0208260760719065,24.403292261499743,1.5779538345287746e-131,0.4674064620027327,0.549043180083189,***
ln_dist,-0.33960767160946465,0.017495302927803602,-19.411362753242692,6.1864372004537665e-84,-0.3738978352465779,-0.3053175079723514,***
comlang_off,1.4146652105191542,0.05819546021518858,24.308858548212616,1.5800283194133291e-130,1.300604204433651,1.5287262166046574,***
contig,1.406461658886023,0.07194847169306914,19.548179770738738,4.275038908048014e-85,1.265445245624908,1.5474780721471382,***
colony,1.0733345852474139,0.07119240838340894,15.076531467610097,2.3109448058693835e-51,0.933800028843265,1.212869141651563,***
ln_co2_org,0.3478500075774156,0.03435976366474948,10.123760191467307,4.334367929374913e-24,0.28050610827719863,0.4151939068776325,***
ln_disaster_des,0.3924451176715387,0.03158872636287226,12.423581538659256,1.9464829604096885e-35,0.33053235168281814,0.4543578836602593,***
ln_disaster_org,0.053836966441744294,0.029903023774608906,1.8003853672971377,0.07179980970875956,-0.0047718831853341415,0.11244581606882273,*
inflation_org,0.010112535449969914,0.006630286870182345,1.5252033053724872,0.12720839642298745,-0.002882588022756278,0.023107658922696107,
inflation_des,-0.00703790049611283,0.008593545110754329,-0.8189752198199671,0.4128005518166862,-0.023880939412711584,0.009805138420485922,
