Spec,Chi²,df,p-value,Kết luận
M1 Gravity cơ bản,11.3863,4,0.022549,FEM ưa thích (p<0.05)
M2 Gravity đầy đủ,286.7923,9,0.0,FEM ưa thích (p<0.05)
