model,variable,coef,se,t_stat,p_value,IRR,IRR_lo,IRR_hi,stars
PPML-1 Core,ln_gdppc_org,0.470753627693654,0.08852512348465637,5.317740423996669,1.050638087022412e-07,1.6012004476273274,1.346148529487777,1.9045765138988946,***
PPML-1 Core,ln_gdppc_des,0.08185755751118234,0.15207843531646908,0.5382588092837757,0.5903983843231332,1.0853012058138471,0.8055655525099391,1.4621761117652283,
PPML-1 Core,ln_pop_org,0.3851320376984235,0.32027216152010024,1.2025148731955984,0.22916410715589686,1.4698083787448757,0.7845932376205221,2.7534479863481978,
PPML-1 Core,ln_pop_des,0.15007339900176664,0.3099301660140901,0.48421681868470967,0.6282320019632982,1.161919523331635,0.6329406860769474,2.1329913029719276,
PPML-1 Core,ln_dist,-0.5827368794994426,0.0266410421828397,-21.873651770079817,4.629947758175874e-106,0.5583680872544292,0.5299607336208467,0.5882981532122813,***
PPML-1 Core,comlang_off,0.9567996498814165,0.0567524728287956,16.859171101984945,8.984014689295383e-64,2.60335149086027,2.3292977961296955,2.9096489921664883,***
PPML-1 Core,contig,1.2209208987588804,0.06551895026058362,18.634622409287743,1.6833806055907734e-77,3.390308427302247,2.981737296181669,3.8548638228309997,***
PPML-1 Core,colony,0.7817024382175849,0.05167862475746919,15.126223692796783,1.0875995925528937e-51,2.1851892503243544,1.974695471704625,2.4181207321102147,***
PPML-2 Extended,ln_gdppc_org,0.32549990562300646,0.11592209216098621,2.8079195221129214,0.004986268598166641,1.3847227036504384,1.1032901709546112,1.7379443925852418,***
PPML-2 Extended,ln_gdppc_des,0.061242446168753295,0.15179107238139147,0.4034654028589707,0.6866058812963716,1.0631566411979128,0.7895733135417906,1.4315352663744791,
PPML-2 Extended,ln_pop_org,0.48898463935504666,0.3258703852707139,1.500549486719473,0.13347212479021872,1.6306596714449184,0.8609579800501169,3.088479374942392,
PPML-2 Extended,ln_pop_des,0.13497391247341084,0.3109990480790067,0.4340010469714424,0.6642876807722026,1.1445069266069794,0.6221506450285406,2.1054323667723014,
PPML-2 Extended,ln_dist,-0.5808603128292918,0.026674179644402045,-21.77612659781249,3.9074560584297476e-105,0.5594168859592143,0.5309216904385199,0.5894414523502004,***
PPML-2 Extended,comlang_off,0.9633813737669487,0.05683097354879804,16.951695767445177,1.8698193862158452e-64,2.6205425428705693,2.3443184322053408,2.929313323930323,***
PPML-2 Extended,contig,1.2174650026191756,0.0656000347466555,18.55890789267068,6.90950013405432e-77,3.378612095790369,2.9709783137123305,3.8421753673312966,***
PPML-2 Extended,colony,0.7784847221357867,0.05137142588015947,15.154041547374119,7.124720360492165e-52,2.1781692320016663,1.9695371729840714,2.4089015776485163,***
PPML-2 Extended,inflation_org,0.005616186968532,0.007064516475454577,0.794985330991194,0.426622035134553,1.0056319873119437,0.9918037629316016,1.0196530117165041,
PPML-2 Extended,ln_internet_use_org,0.07120401890816302,0.04346753590142002,1.6380965111444676,0.10140156267842376,1.0738002790826224,0.9861066302515509,1.1692924517339276,
PPML-2 Extended,ln_disaster_org,-0.018511985662669456,0.031425150282440584,-0.589081849928762,0.5558063682213978,0.9816583086959358,0.923020210279356,1.044021598118758,
PPML-2 Extended,ln_disaster_des,-0.023247499155453724,0.03342643230044012,-0.6954825135540303,0.48675296602233875,0.9770206420629306,0.9150632388514577,1.0431730775407277,
