model,variable,coef,se,t_stat,p_value,ci_lo,ci_hi,stars
REM_M2,const,-1.9423415560053632,2.2290514386029283,-0.87137583384919,0.3835741978056091,-6.311839745853603,2.427156633842876,
REM_M2,ln_gdppc_org,0.25941437356507957,0.08307745313554155,3.1225604995598855,0.0017990213297500723,0.09656179205602858,0.4222669550741306,***
REM_M2,ln_gdppc_des,0.09722681779539738,0.07476288058549625,1.3004691236343167,0.19347636539486612,-0.049327122472088036,0.2437807580628828,
REM_M2,ln_pop_org,0.24020587565626353,0.11745550414931942,2.045079772088785,0.040878485988958824,0.009963717992181792,0.47044803332034524,**
REM_M2,ln_pop_des,0.15511018977104735,0.08872370349919077,1.7482384487304687,0.08045974426725255,-0.018810454285209,0.3290308338273037,*
REM_M2,inflation_org,0.006284063750366413,0.0027777121875774877,2.2623163690140635,0.023703625587868427,0.0008390533009232648,0.011729074199809562,**
REM_M2,inflation_des,-0.011749810801621772,0.0030955765361803753,-3.7956776917943165,0.00014828951834311432,-0.017817914855718618,-0.005681706747524926,***
REM_M2,ln_internet_use_org,0.14796979033469973,0.034290799983277054,4.315145473621545,1.6134841344550566e-05,0.08075124801640929,0.21518833265299017,***
REM_M2,ln_disaster_org,-0.029310694612506072,0.01009319457837451,-2.9040057025460126,0.003693937677979431,-0.04909587977074307,-0.009525509454269075,***
REM_M2,ln_disaster_des,-0.004627097140709875,0.008468561324107133,-0.5463852670627882,0.5848158324456327,-0.021227594884044597,0.011973400602624848,
REM_M2,ln_dist,-0.020695682741637522,0.10446901221568997,-0.1981035553290058,0.8429688983047947,-0.22548106896753406,0.18408970348425902,
REM_M2,comlang_off,1.366339713305498,0.2908149178553637,4.698313701998757,2.665407158763955e-06,0.796269756577041,1.9364096700339548,***
REM_M2,contig,1.441408754894021,0.3552795976214988,4.057110975535506,5.013901978823121e-05,0.7449719065500806,2.1378456032379614,***
REM_M2,colony,1.3759487470349838,0.6481242454612592,2.1229706443951097,0.03378584666478224,0.10546316366294284,2.6464343304070246,**
