model,variable,coef,se,t_stat,p_value,ci_lo,ci_hi,stars
POLS_M2,const,-14.348483883292236,3.169775387533193,-4.526656349129716,6.0861617332541584e-06,-20.562146077835642,-8.13482168874883,***
POLS_M2,ln_gdppc_org,-0.44182198395262984,0.212325519500731,-2.0808708486457217,0.037480047507050473,-0.8580404512444753,-0.025603516660784365,**
POLS_M2,ln_gdppc_des,1.1882013142026935,0.1277499264634092,9.300994114803066,0.0,0.9377750879333491,1.438627540472038,***
POLS_M2,ln_pop_org,0.4326041964949017,0.0824190305278692,5.248838693250836,1.5731577840405464e-07,0.2710394319642235,0.59416896102558,***
POLS_M2,ln_pop_des,0.5139779843681945,0.07062507078765771,7.277557086116453,3.7481129311345285e-13,0.37553273866839165,0.6524232300679974,***
POLS_M2,inflation_org,0.01220881441193416,0.013096242695983607,0.9322379475815911,0.35124399026498754,-0.013463549772181524,0.03788117859604984,
POLS_M2,inflation_des,-0.009196489027479807,0.02066125083398825,-0.4451080479770065,0.6562546957923865,-0.04969842291972372,0.03130544486476411,
POLS_M2,ln_internet_use_org,0.18459322669114037,0.08564735764004892,2.1552705393076144,0.03117282928060483,0.016700021915936863,0.35248643146634384,**
POLS_M2,ln_disaster_org,0.1231440466116708,0.08822923797465088,1.395728325875956,0.16283820742935262,-0.0498103786806231,0.2960984719039647,
POLS_M2,ln_disaster_des,0.3746820364533062,0.08241849152167625,4.546091896801629,5.55202816165945e-06,0.21311832852822118,0.5362457443783912,***
POLS_M2,ln_dist,-0.35145992706340906,0.08341187639473224,-4.213547785451869,2.5437690435170524e-05,-0.5149709521563338,-0.18794890197048428,***
POLS_M2,comlang_off,1.101342460136264,0.265764227063636,4.144058334354204,3.450170631502658e-05,0.5803689120223373,1.6223160082501908,***
POLS_M2,contig,1.5132206759036029,0.3437792778701596,4.401721608348727,1.0890370964133922e-05,0.8393154173257584,2.1871259344814473,***
POLS_M2,colony,1.1976226160405363,0.30330078065440474,3.948630179772482,7.932883292083304e-05,0.6030667362327776,1.7921784958482951,***
POLS_M2,ln_co2_org,0.31319854158875504,0.13506242216997139,2.318916961185588,0.02042664745927203,0.04843774186719302,0.577959341310317,**
POLS_M2,ln_pm25_org,0.080910747809275,0.19920212233517295,0.40617412535965064,0.6846264122965668,-0.30958212480721203,0.471403620425762,
