variable,coef_std,selected,coef_raw
ln_gdppc_des,0.9766984310877255,True,1.199769848789489
ln_pop_des,0.7781267976391495,True,0.507661239163742
ln_pop_org,0.731631743059714,True,0.47392318482571444
contig,0.41169870620579796,True,1.4050355699243477
comlang_off,0.3947082811598895,True,1.4131628293857452
ln_dist,-0.3852604664803689,True,-0.3386328989794515
ln_co2_org,0.3730930749126374,True,0.34340611302226676
ln_disaster_des,0.37124240685878557,True,0.3916571620777332
ln_gdppc_org,-0.331699528547226,True,-0.3300975228115705
colony,0.17492003800867068,True,1.069391307597112
ln_disaster_org,0.05342118858838263,True,0.052889685323454456
inflation_org,0.03019497802836218,True,0.010019906823752594
inflation_des,-0.013910234792997621,True,-0.006897591175367401
