model,variable,coef,se,t_stat,p_value,ci_lo,ci_hi,stars
POLS_M2,const,-14.348483883292236,3.169775387533193,-4.526656349129716,6.0861617332541584e-06,-20.562146077835642,-8.13482168874883,***
POLS_M2,ln_gdppc_org,-0.44182198395262984,0.212325519500731,-2.0808708486457217,0.037480047507050473,-0.8580404512444753,-0.025603516660784365,**
POLS_M2,ln_gdppc_des,1.1882013142026935,0.1277499264634092,9.300994114803066,0.0,0.9377750879333491,1.438627540472038,***
POLS_M2,ln_pop_org,0.4326041964949017,0.0824190305278692,5.248838693250836,1.5731577840405464e-07,0.2710394319642235,0.59416896102558,***
POLS_M2,ln_pop_des,0.5139779843681945,0.07062507078765771,7.277557086116453,3.7481129311345285e-13,0.37553273866839165,0.6524232300679974,***
POLS_M2,inflation_org,0.01220881441193416,0.013096242695983607,0.9322379475815911,0.35124399026498754,-0.013463549772181524,0.03788117859604984,
POLS_M2,inflation_des,-0.009196489027479807,0.02066125083398825,-0.4451080479770065,0.6562546957923865,-0.04969842291972372,0.03130544486476411,
POLS_M2,ln_internet_use_org,0.18459322669114037,0.08564735764004892,2.1552705393076144,0.03117282928060483,0.016700021915936863,0.35248643146634384,**
POLS_M2,ln_disaster_org,0.1231440466116708,0.08822923797465088,1.395728325875956,0.16283820742935262,-0.0498103786806231,0.2960984719039647,
POLS_M2,ln_disaster_des,0.3746820364533062,0.08241849152167625,4.546091896801629,5.55202816165945e-06,0.21311832852822118,0.5362457443783912,***
POLS_M2,ln_dist,-0.35145992706340906,0.08341187639473224,-4.213547785451869,2.5437690435170524e-05,-0.5149709521563338,-0.18794890197048428,***
POLS_M2,comlang_off,1.101342460136264,0.265764227063636,4.144058334354204,3.450170631502658e-05,0.5803689120223373,1.6223160082501908,***
POLS_M2,contig,1.5132206759036029,0.3437792778701596,4.401721608348727,1.0890370964133922e-05,0.8393154173257584,2.1871259344814473,***
POLS_M2,colony,1.1976226160405363,0.30330078065440474,3.948630179772482,7.932883292083304e-05,0.6030667362327776,1.7921784958482951,***
POLS_M2,ln_co2_org,0.31319854158875504,0.13506242216997139,2.318916961185588,0.02042664745927203,0.04843774186719302,0.577959341310317,**
POLS_M2,ln_pm25_org,0.080910747809275,0.19920212233517295,0.40617412535965064,0.6846264122965668,-0.30958212480721203,0.471403620425762,
FEM_M1,ln_gdppc_org,0.8222606537258276,0.09646080306624617,8.524298239162755,0.0,0.6331723170020735,1.0113489904495816,***
FEM_M1,ln_gdppc_des,0.10856773449834577,0.08267223885527088,1.313230849939948,0.18914287351084136,-0.053491419494351974,0.2706268884910435,
FEM_M1,ln_pop_org,-1.00819606256271,0.502121073035503,-2.0078744285074537,0.044690230132783615,-1.9924843487490125,-0.02390777637640762,**
FEM_M1,ln_pop_des,-1.0035609936195995,0.34946076895702083,-2.871741502242916,0.004092903759591149,-1.6885952609261472,-0.3185267263130517,***
FEM_M2,ln_gdppc_org,0.5287228856762971,0.10541690091198669,5.015541920718496,5.40310258756449e-07,0.3220780360502843,0.7353677353023099,***
FEM_M2,ln_gdppc_des,0.16874106535999583,0.08396616884247332,2.0096315895580092,0.04450398724990512,0.0041452919686691125,0.3333368387513226,**
FEM_M2,ln_pop_org,-0.9948432479013434,0.47144078516518884,-2.110218884759321,0.03487072270560665,-1.918991172145172,-0.07069532365751474,**
FEM_M2,ln_pop_des,-0.9400874169564799,0.3429204618124931,-2.7414153474181258,0.006131214574125909,-1.6123017075671413,-0.2678731263458186,***
FEM_M2,inflation_org,0.003008711268164715,0.002531175666932752,1.1886615802571439,0.23460843684919475,-0.00195305871886083,0.00797048125519026,
FEM_M2,inflation_des,-0.012581507917396303,0.0033617947097714473,-3.742497387132738,0.0001834868212977625,-0.019171509674839868,-0.005991506159952741,***
FEM_M2,ln_internet_use_org,0.12487013053255706,0.0329917427910208,3.784890398895276,0.00015490916486027295,0.060197638086183336,0.1895426229789308,***
FEM_M2,ln_disaster_org,-0.027481555215563575,0.009912738788763897,-2.7723473604201048,0.0055783409066458844,-0.04691313021601153,-0.008049980215115618,***
FEM_M2,ln_disaster_des,-0.01390309346301451,0.008679302568582176,-1.601867587073379,0.10922469824729109,-0.03091680908761596,0.0031106221615869387,
FEM_M3,ln_gdppc_org,0.15134320626664385,0.12479431357230465,1.2127412053831845,0.22526498415767082,-0.09328657204349775,0.3959729845767854,
FEM_M3,ln_gdppc_des,-0.14392601964472865,0.10831050541918032,-1.3288278832021894,0.18394307644947494,-0.3562431851540525,0.06839114586459522,
FEM_M3,ln_pop_org,-1.2219414419354975,0.47208369983770965,-2.588399985755852,0.009659929022418634,-2.147350040526963,-0.29653284334403207,***
FEM_M3,ln_pop_des,-1.5745732960118741,0.3673715104456834,-4.286051724864707,1.8403236262010125e-05,-2.294718377828599,-0.8544282141951489,***
FEM_M3,inflation_org,0.0031710928117441714,0.0028967193958004274,1.094718672558178,0.27367322548470896,-0.0025072414275060483,0.008849427050994391,
FEM_M3,inflation_des,-0.004181244682584429,0.004958043679376878,-0.843325503560292,0.39907191415601506,-0.013900318344023579,0.005537828978854721,
FEM_M3,ln_internet_use_org,0.1688310897665084,0.038001491283441935,4.442749062326186,9.002491258458534e-06,0.09433814115361354,0.24332403837940325,***
FEM_M3,ln_disaster_org,-0.028906588823240143,0.009527881489750346,-3.0338946652869803,0.0024220209401784043,-0.047583750224929194,-0.010229427421551088,***
FEM_M3,ln_disaster_des,-0.014724141160307002,0.009499283060662032,-1.5500265721401543,0.12117512943669029,-0.03334524209603709,0.003896959775423087,
